property_id,price
d56159653f5d2abc5ed5acd7,441095364
45550aa81c0151f1fd9fd8fe,725590839
735deef3382aa15930482f3e,322400258
0dd49fa8bb7be52b851c6dc9,795152688
7d3220a91e78f8bc2924d1cd,919342460
d3054072b2175deec2c1f8dc,534778880
b7574b06d593fca4eac59815,534385662
79e822115c5c1a4531366001,685894704
d3ed5316a463d38c1bd321d0,783960311
2f1880c9b8f7ac2715e1236d,674865904
dcca1c7f109175760ff531c6,772908287
dfc4f3facf91bbd93ee0fa4d,518434535
30e134a6cbe61d7954d0f56b,504431716
385fee7bd9ad7722d45dd034,393795012
87199c236bf22903d1aafdd0,529699334
19e19ad0cd6b5e84d8aa970e,584332298
907f968e78d748fde69dd44f,660474547
be094e5db0f784e3aa013aae,539100007
7ab96f83915bc84f8c03c1bd,590201075
07f4aa9b9ff5b0b05d31e6c0,560111898
e9be8cd37abed8ab510ba1f5,725871111
5f6ad58df27b562db077b5ce,677451601
ee96d947484aaace40f9b77f,715539181
15c4aef8401208054697b81e,858980341
22d6cb11333f2839b8112b89,832398734
288c09c33907dadbae495c11,976501404
f71d2bca0c5fe2720a1544c4,371921473
451744cf3ce55a98db8a3562,467032025
fba9ae05a6a8a9e0c6268a9f,564913005
1338e58f7dcebf5a1ea59388,381525379
a817e8da0ada143ac87277ee,285714641
46d8bb3e9a0ca584d3c7a317,672981251
b2506aa9463aebf01e1e00ca,664241885
7ec025b9b6e6f33bf65af41b,647093023
2ff531e27672ecd2362eed55,579267666
9b3cf0d1b91b9c6a2a887647,488962308
7db5291ce4602d9b2b266872,594273217
65d5918e826c33bb950fc008,489892490
395c34e4b8f52cbdb0522459,665976855
855f4b67d2bd6d18fd03d8e7,697363141
9ff06409b37e5b5dece4604a,504207637
0508cd7bd2c77ebb6fea1e56,662476775
b45fff2e718e54772d46a3fd,635212940
cf4d2297b73dbc357d21e31b,485416402
0ada7044c5b29925abc90879,659378830
6305f02255274ab5fb6bd39c,579611551
d9a94194ae1350512beff3e6,717773447
e3896296cb80d50d9ad3f903,667470560
6514f355887c64136edb5595,642704847
f03400cc18e12903b3ffbe5a,853225156
4e134600155a64783b3f8c3e,683473094
d63ebc63c82fbf66d8b6ffd3,721276968
1bd64811bd59706844230198,731015611
a83921284639eedd4a511cb6,708870821
a2f3f7a1cd573e2a33f52e2d,697520739
