property_id,price
d56159653f5d2abc5ed5acd7,694070577
45550aa81c0151f1fd9fd8fe,708762366
735deef3382aa15930482f3e,678714381
0dd49fa8bb7be52b851c6dc9,903141078
7d3220a91e78f8bc2924d1cd,944245573
d3054072b2175deec2c1f8dc,580813031
b7574b06d593fca4eac59815,590233031
79e822115c5c1a4531366001,491205890
d3ed5316a463d38c1bd321d0,1072437185
2f1880c9b8f7ac2715e1236d,850255041
dcca1c7f109175760ff531c6,876649133
dfc4f3facf91bbd93ee0fa4d,636787936
30e134a6cbe61d7954d0f56b,367999025
385fee7bd9ad7722d45dd034,417737075
87199c236bf22903d1aafdd0,450176117
19e19ad0cd6b5e84d8aa970e,437151514
907f968e78d748fde69dd44f,735986399
be094e5db0f784e3aa013aae,439910378
7ab96f83915bc84f8c03c1bd,377872290
07f4aa9b9ff5b0b05d31e6c0,845419895
e9be8cd37abed8ab510ba1f5,896174667
5f6ad58df27b562db077b5ce,755280781
ee96d947484aaace40f9b77f,877080230
15c4aef8401208054697b81e,991503714
22d6cb11333f2839b8112b89,1325960484
288c09c33907dadbae495c11,1227909939
f71d2bca0c5fe2720a1544c4,603755190
451744cf3ce55a98db8a3562,600879700
fba9ae05a6a8a9e0c6268a9f,708565958
1338e58f7dcebf5a1ea59388,579618477
a817e8da0ada143ac87277ee,366163390
46d8bb3e9a0ca584d3c7a317,863481486
b2506aa9463aebf01e1e00ca,666944211
7ec025b9b6e6f33bf65af41b,623128591
2ff531e27672ecd2362eed55,500630048
9b3cf0d1b91b9c6a2a887647,666593406
7db5291ce4602d9b2b266872,670305402
65d5918e826c33bb950fc008,713540970
395c34e4b8f52cbdb0522459,936324676
855f4b67d2bd6d18fd03d8e7,858907319
9ff06409b37e5b5dece4604a,669497356
0508cd7bd2c77ebb6fea1e56,796152670
b45fff2e718e54772d46a3fd,759413614
cf4d2297b73dbc357d21e31b,699686235
0ada7044c5b29925abc90879,768942316
6305f02255274ab5fb6bd39c,765735410
d9a94194ae1350512beff3e6,768069505
e3896296cb80d50d9ad3f903,876247425
6514f355887c64136edb5595,817181852
f03400cc18e12903b3ffbe5a,823833330
