property_id,price
d56159653f5d2abc5ed5acd7,602604339
45550aa81c0151f1fd9fd8fe,711760876
735deef3382aa15930482f3e,610689906
0dd49fa8bb7be52b851c6dc9,820708330
7d3220a91e78f8bc2924d1cd,735267807
d3054072b2175deec2c1f8dc,541500647
b7574b06d593fca4eac59815,545570004
79e822115c5c1a4531366001,506979453
d3ed5316a463d38c1bd321d0,978198827
2f1880c9b8f7ac2715e1236d,722417103
dcca1c7f109175760ff531c6,780571683
dfc4f3facf91bbd93ee0fa4d,550769927
30e134a6cbe61d7954d0f56b,365554390
385fee7bd9ad7722d45dd034,394601237
87199c236bf22903d1aafdd0,417629027
19e19ad0cd6b5e84d8aa970e,460340340
907f968e78d748fde69dd44f,720227410
be094e5db0f784e3aa013aae,489753124
7ab96f83915bc84f8c03c1bd,360364570
07f4aa9b9ff5b0b05d31e6c0,659822843
e9be8cd37abed8ab510ba1f5,728338232
5f6ad58df27b562db077b5ce,645262118
ee96d947484aaace40f9b77f,746150098
15c4aef8401208054697b81e,781649458
22d6cb11333f2839b8112b89,1267906133
288c09c33907dadbae495c11,1284173724
f71d2bca0c5fe2720a1544c4,426011876
451744cf3ce55a98db8a3562,422463802
fba9ae05a6a8a9e0c6268a9f,570874559
1338e58f7dcebf5a1ea59388,512410070
a817e8da0ada143ac87277ee,334660729
46d8bb3e9a0ca584d3c7a317,643164888
b2506aa9463aebf01e1e00ca,658722543
7ec025b9b6e6f33bf65af41b,645721189
2ff531e27672ecd2362eed55,360902075
9b3cf0d1b91b9c6a2a887647,661003666
7db5291ce4602d9b2b266872,669544964
65d5918e826c33bb950fc008,622670856
395c34e4b8f52cbdb0522459,658997696
855f4b67d2bd6d18fd03d8e7,689164273
9ff06409b37e5b5dece4604a,614040160
0508cd7bd2c77ebb6fea1e56,654579719
b45fff2e718e54772d46a3fd,663089875
cf4d2297b73dbc357d21e31b,652629659
0ada7044c5b29925abc90879,673465533
6305f02255274ab5fb6bd39c,721621452
d9a94194ae1350512beff3e6,744005614
e3896296cb80d50d9ad3f903,737129071
6514f355887c64136edb5595,682685143
f03400cc18e12903b3ffbe5a,773812840
4e134600155a64783b3f8c3e,677620075
d63ebc63c82fbf66d8b6ffd3,704389961
1bd64811bd59706844230198,722772012
a83921284639eedd4a511cb6,694830178
a2f3f7a1cd573e2a33f52e2d,697484020
47344a66471fa51f61c64652,696440449
78fd849c9429091347d7e5c9,713659805
c3daf2abea55af99c9579319,818415810
52864916eb1984abca41ec66,815874842
c62494a9d7aede44f2f84023,826354483
a2b576643f7a032371587e5e,506592089
e53bc68f0e97ccead24f3e56,546674051
