property_id,city,price,month,year,surface_total,surface_covered,rooms,bathrooms,property_type,operation_type,title,description,property_type2,parqueadero,piso_info,piso_numerico,pent_house,UPL,CODIGO_UPL,distancia_bus,estrato,codigo_man,lat,lon,pmt2,band,estrato_closest,min_distance,ciclovia_near,distancia_parque,distancia_cc,bedrooms
2d2f627f2a73cd6ace7e6dab,Bogotá D.C,4.8e+08,8,2021,115.2,,4,3,Apartamento,Venta,se vende apartamento en galerias,se vende lindo apartamento 3y4 piso remodelado exterior en galerias,0,0,3y4 piso remodelado,3,0,Chapinero,UPL24,228.425979454527,3,00821315,4.649258,-74.063051,4166666.66666667,100-200,3,0,381.556098482644,150.598543522242,1060.48366547116,4
fe9f4c3539d3582f7bf2fddd,Bogotá D.C,7.5e+08,3,2021,141.818181818182,,2,3,Apartamento,Venta,apartamento en en bogota,en uno de los mejores barrios de bogota en un noveno piso con super luz y vista remodelado y amplio se encuentra este buen apartamento con muy buenas vias de acceso la once la cien la novena con restaurantes a pocos pasos bancos y zona comercial a la mano parques y a la vez zona de oficinas el apartamento esta remodelado impecablemente y dispone de dos alcobas con sus banos bano social hall de alcobas doble sala comedor cocina abierta lavanderia independiente y un garaje,0,1,9 piso con,9,0,Chapinero,UPL24,591.587236156142,6,"",4.681,-74.04,5288461.53846154,100-200,6,110.581669369501,225.574605300509,169.48219375793,1145.43313788095,2
84a9da9d84b975bcd0954c36,Bogotá D.C,7.49e+08,7,2021,86,,2,3,Apartamento,Venta,apartamento en refugio 87 exterior,apartamento en en chico refugio de 86 m2 en segundo piso exterior con balcon 2 habitaciones la principal con bano privado bano de alcobas y bano social sala comedor con chimenea y balcon cocina abierta tipo americano zona de lavanderia independiente parqueadero y deposito gym salon comunal zona infantil y terraza panoramica con bbq informes x,0,1,2 piso exterior,2,0,Chapinero,UPL24,1714.84872082227,6,00830303,4.667227244,-74.0447616577,8709302.3255814,<100,6,0,115.450824278051,171.656745862476,928.833274799428,2
b8cfaa53d82564bf7572175a,Bogotá D.C,1.2e+09,8,2021,310.588235294118,,3,4,Apartamento,Venta,apartamento serramonte pm,hermoso apartamento carrera 6 con calle 125 ideal para remodelar apartamento ubicado en el 10mo piso con ascensor privado directo apto hall de entrada sala cuenta con chimenea comedor y estudio bano social cocina integral con comedor auxiliar zona de lavanderia cuarto y bano de servicio puerta de salida a las escaleras de emergencia el apartamento cuenta con sistema automatico de encendido y pagado de luces 2 parqueaderos cubiertos en linea deposito el conjunto cuenta con planta de reserva de energia y tanques de almacenamiento de agua red de gas natural vigilancia y supervisor de seguridad las 24 horas camaras de seguridad y acceso al conjunto y cada torre con huella dactilar o token,0,0,10mo piso con,10,0,Chapinero,UPL24,1402.98872268657,6,00830407,4.66167742,-74.0486884117,3863636.36363636,300+,6,0,111.39953537466,115.099590951907,758.383863800615,3
e2fe4b0fc492998f3ec0480f,Bogotá D.C,1.25e+09,7,2021,179.435483870968,,3,2,Apartamento,Venta,apartamento en el refugio bogota 22273 rah co X,en hermoso apartamento totalmente remodelado en el refugio chapinero bogota impresionantes vistas muy soleado e iluminado con acabados de primera calidad amplia cocina abierta con gabinetes de tecnologia alemana banos italianos cuarto de lavado cerrado tres habitaciones cada uno con baa o privado mas habitacion y bano de servicio lamparas de cristal de murano,0,0,"",,0,Chapinero,UPL24,1831.88497248678,6,"",4.666951,-74.043268,6966292.13483146,100-200,6,168.517405561293,277.825609343085,126.515268285589,1093.52616503976,3
448a92b57eaf63a17114c62b,Bogotá D.C,6e+08,7,2021,132.558139534884,,2,1,Apartamento,Venta,espectacular apartamento la soledad,acogedor y calido apartamento con amplios espacios y vista exterior ubicacion privilegiada zona de alta izacion a escasos metros de la calle 45 park way avenida nqs cerca a universidad nacional centro comercial galerias carulla park way tranquilidad y seguridad en su entorno excelentes acabados tina en bano principal cocina tipo americano cita previa,0,0,"",,0,Chapinero,UPL24,556.43422412868,4,00820717,4.6417567,-74.0609706,4526315.78947368,100-200,4,0,148.6609636254,314.776480979615,1534.46143953864,2
ab7452883b1d217669becc03,Bogotá D.C,8.9e+08,8,2021,142,,3,3,Apartamento,Venta,apartamento duplex en en la ciudad de bogota sector de chico,area 142mts2 consta de 3 habitaciones 2 banos 2 parqueaderos en linea cuarto de servicio con bano sala comedor cocina integral con barra tipo americana deposito y zona de lavanderia en edifico que cuenta con porteria recepcion salon comunal gimnasio turco sauna y jacuzzi vias de acceso facil restaurantes centros comerciales colegios universidades zona residencial zonas verdes y empresarial,0,0,"",,0,Chapinero,UPL24,186.642692459298,6,00831508,4.6853093138,-74.0559625626,6267605.63380282,100-200,6,0,832.84591559208,159.328417904236,852.668238425634,3
8d55a4727b11e756011653de,Bogotá D.C,7.8e+08,11,2020,167,,2,2,Casa,Venta,casa en bogota chapinero occidental,excelente casa de 167 mtrs2 construidos esta en un lote de 204 mtrs2 con 730 mtrs de frente por 28 mtrs de fondo la casa esta construida en 2 pisos la casa cuenta con 2 locales amplios en el primer piso y 2 apartamentos pequenos cada apto con 2 habitaciones 1 bano cocina sala comedor la casa esta muy bien ubicada tiene muy buenas vias de acceso y actualmente tiene un promedio de renta mensual de x,1,0,1 piso y,1,0,Chapinero,UPL24,721.409316400672,4,"",4.6506311,-74.0581187,4670658.68263473,100-200,4,94.8364930781153,21.1910940186855,256.280484942425,730.095235427508,2
80dfe146475acbcd85bba8eb,Bogotá D.C,7e+08,7,2021,280,,1,2,Apartamento,Venta,apartaestudio duplex ed piscina terraza chico,apartaestudio amoblado con servicios incluidos duplex tipo loft en edificio con piscina y terraza comunal cancha de squash gimnacio zona humeda en chico norte 367m canon xxx cop administracion incluida disponible a partir del 1 de noviembre apartaestudio amoblado duplex tipo loft chico norte 3 bogota zonanorte colombia hermoso apartamento duplex tipo loft 67mts con administracion incluida area social en el primer piso bano social area de ropas sala comedor cocina area privada en el segundo piso bano closet habitacion puerta na semi balcon chimenea funcional lobby muy moderno tipo hotel con recepcion drive thru parqueadero de visitantes piscina climatizada jacuzzi turco sauna gimnasio sala de juntas salon de reuniones cancha de squash terraza comunal con asador y teppanyaki hermosa vista 360 banda en la terraza para caminar jardines naturales,0,1,1 piso bano,1,0,Chapinero,UPL24,97.0006940630745,6,00831514,4.6852987,-74.0537269,2500000,200-300,6,0,610.335874629856,141.516367106334,701.34830583727,1
f834d1b37536ec6bcc649f0a,Bogotá D.C,3.34e+08,7,2021,77,,3,2,Apartamento,Venta,apartamento en en normandia,apartamento en en normandia apartamento de 77m2 con vista interior ubicado en un 3er piso acceso por escaleras parqueadero propio cubierto y deposito consta de 3 habitaciones 2 banos sala comedor cocina integral y zona de lavanderia tiene piso laminado en habitaciones y zona social y ceramico en banos y cocina el edificio cuenta con 2 terrazas salon comunal y vigilancia privada las 24 horas cerca de centro comercial gran estacion y centro empresarial el dorado cerca de almacenes de cadena como exito olimpica ara y d1 cerca a colegio republica de colombia y marco tulio fernandez cerca a estacion de transmilenio normandia vias de acceso por la av boyaca y av calle 53 administracion xxx de xxx si desea mayor informacion de este y otros inmuebles comunicate al x,0,1,3er piso acceso,3,0,Chapinero,UPL24,477.393506979751,4,"",4.6394206,-74.0629731,4337662.33766234,<100,4,223.815632499141,0.350382372457675,138.587840325288,1362.39156503346,3
ea7ba96107b36f79ccf03329,Bogotá D.C,1.6e+09,7,2021,257.196261682243,,3,2,Apartamento,Venta,apartamento chico reservado,apartamento en en chico reservado duplex varios ambientes sala y comedor separados con chimenea cocina abierta tipo americano zona de lavanderia cuarto y bano de servicio autosustentable recicla el agua 3 alcobas cada una con bano estar de television 3 garajes 2 en linea y 1 independiente deposito zona exclusiva de bogota calle 94 carreras 9 y 7 contactenos para mas informacion,0,0,"",,0,Chapinero,UPL24,852.717007370078,6,00830746,4.6762252813,-74.0419548939,6220930.23255814,200-300,6,0,158.556045229632,152.602935741794,1037.05235612656,3
